model,url,price,Milage,fuel,Type,max_price
Tata Safari 2024,https://www.cardekho.com/carmodels/Tata/Tata_Safari_2024,Rs16 Lakh* ,None,None,None,1600000.0
Mahindra Thar,https://www.cardekho.com/mahindra/thar,Rs.10.54 - 16.78 Lakh* ,15.2 kmplManual,Petrol,Manual/Automatic,1678000.0
Mahindra XUV700,https://www.cardekho.com/mahindra/xuv700,Rs.14.01 - 26.18 Lakh* ,None,Petrol,Manual/Automatic,2618000.0
Mahindra Bolero,https://www.cardekho.com/mahindra/bolero,Rs.9.78 - 10.79 Lakh* ,16.0 kmplManual,None,Manual,1079000.0
Mahindra Scorpio-N,https://www.cardekho.com/mahindra/scorpio-n,Rs.13.05 - 24.52 Lakh* ,None,Petrol,Manual/Automatic,2452000.0
Mahindra XUV300,https://www.cardekho.com/mahindra/xuv300,Rs.8.41 - 14.60 Lakh* ,16.5 to 20.1 kmp,Petrol,Manual/Automatic,1460000.0
Mahindra Scorpio Classic,https://www.cardekho.com/mahindra/scorpio-classic,Rs.13 - 16.81 Lakh* ,None,None,Manual,1680999.9999999998
Mahindra Bolero Neo,https://www.cardekho.com/mahindra/bolero-neo,Rs.9.63 - 12.14 Lakh* ,17.29 kmplManual,None,Manual,1214000.0
Mahindra Marazzo,https://www.cardekho.com/mahindra/marazzo,Rs.13.71 - 16.46 Lakh* ,17.3 kmplManual,None,Manual,1646000.0
Mahindra Bolero Camper,https://www.cardekho.com/mahindra/bolero-camper,Rs.9.27 - 9.76 Lakh* ,16.0 kmplManual,None,Manual,976000.0
Mahindra KUV 100 NXT,https://www.cardekho.com/mahindra/kuv-100-nxt,Rs.6.18 - 7.84 Lakh* ,18.15 kmplManual,Petrol,Manual,784000.0
Mahindra XUV400 EV,https://www.cardekho.com/mahindra/xuv400-ev,Rs.15.99 - 18.99 Lakh* ,None,None,None,1898999.9999999998
Mahindra Bolero Maxitruck Plus,https://www.cardekho.com/mahindra/bolero-maxi-truck-plus,Rs.7.49 - 7.89 Lakh* ,17.2 kmplManual,None,Manual,789000.0
Mahindra Bolero PikUp ExtraLong,https://www.cardekho.com/mahindra/bolero-pik-up-extra-long,Rs.8.85 - 9.12 Lakh* ,14.3 kmplManual,None,Manual,911999.9999999999
Mahindra E Verito,https://www.cardekho.com/mahindra/e-verito,Rs.9.13 - 9.46 Lakh* ,None,None,None,946000.0000000001
Mahindra BOLERO PikUP ExtraStrong,https://www.cardekho.com/mahindra/bolero-pik-up-extra-strong,Rs.8.71 - 9.39 Lakh* ,None,None,Manual,939000.0
Mahindra Bolero Neo Plus,https://www.cardekho.com/mahindra/bolero-neo-plus,Rs10 Lakh* ,None,None,None,1000000.0
Mahindra Thar 5-Door,https://www.cardekho.com/mahindra/thar-5-door,Rs15 Lakh* ,None,None,None,1500000.0
